KEGG Pathways	Number of Occurences
"(Purine metabolism (map00230), adenylpyrophosphatase (ec:3.6.1.3))"	525
"(Purine metabolism (map00230), phosphatase (ec:3.6.1.15))"	443
"(Thiamine metabolism (map00730), phosphatase (ec:3.6.1.15))"	443
"(Pyrimidine metabolism (map00240), RNA polymerase (ec:2.7.7.6))"	154
"(Purine metabolism (map00230), RNA polymerase (ec:2.7.7.6))"	154
"(Oxidative phosphorylation (map00190), reductase (H+-translocating) (ec:1.6.5.3))"	134
"(Nitrogen metabolism (map00910), reductase (H+-translocating) (ec:1.6.5.3))"	134
"(Nitrogen metabolism (map00910), oxidase (ec:1.9.3.1))"	107
"(Oxidative phosphorylation (map00190), oxidase (ec:1.9.3.1))"	107
"(Nitrogen metabolism (map00910), S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming) (ec:2.1.2.10))"	101
"(One carbon pool by folate (map00670), S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming) (ec:2.1.2.10))"	101
"(Glycine, serine and threonine metabolism (map00260), S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming) (ec:2.1.2.10))"	101
"(T cell receptor signaling pathway (map04660), phosphatase (ec:3.1.3.16))"	82
"(Pyrimidine metabolism (map00240), DNA polymerase (ec:2.7.7.7))"	74
"(Purine metabolism (map00230), DNA polymerase (ec:2.7.7.7))"	74
"(Glycine, serine and threonine metabolism (map00260), dehydrogenase (ec:1.5.8.4))"	52
"(Pyruvate metabolism (map00620), carboxylase (ec:6.4.1.2))"	45
"(Tetracycline biosynthesis (map00253), carboxylase (ec:6.4.1.2))"	45
"(Propanoate metabolism (map00640), carboxylase (ec:6.4.1.2))"	45
"(Carbon fixation pathways in prokaryotes (map00720), carboxylase (ec:6.4.1.2))"	45
"(Fatty acid biosynthesis (map00061), carboxylase (ec:6.4.1.2))"	45
"(Fatty acid biosynthesis (map00061), carboxylase (ec:6.3.4.14))"	44
"(Terpenoid backbone biosynthesis (map00900), C-acetyltransferase (ec:2.3.1.9))"	42
"(Purine metabolism (map00230), reductase (ec:1.17.4.1))"	42
"(Phenylalanine metabolism (map00360), lactoperoxidase (ec:1.11.1.7))"	42
"(Pyrimidine metabolism (map00240), reductase (ec:1.17.4.1))"	42
"(Valine, leucine and isoleucine degradation (map00280), C-acetyltransferase (ec:2.3.1.9))"	42
"(Fatty acid metabolism (map00071), C-acetyltransferase (ec:2.3.1.9))"	42
"(Glyoxylate and dicarboxylate metabolism (map00630), C-acetyltransferase (ec:2.3.1.9))"	42
"(Lysine degradation (map00310), C-acetyltransferase (ec:2.3.1.9))"	42
"(Propanoate metabolism (map00640), C-acetyltransferase (ec:2.3.1.9))"	42
"(Glutathione metabolism (map00480), reductase (ec:1.17.4.1))"	42
"(Phenylpropanoid biosynthesis (map00940), lactoperoxidase (ec:1.11.1.7))"	42
"(Carbon fixation pathways in prokaryotes (map00720), C-acetyltransferase (ec:2.3.1.9))"	42
"(Benzoate degradation (map00362), C-acetyltransferase (ec:2.3.1.9))"	42
"(Pyruvate metabolism (map00620), C-acetyltransferase (ec:2.3.1.9))"	42
"(Synthesis and degradation of ketone bodies (map00072), C-acetyltransferase (ec:2.3.1.9))"	42
"(Tryptophan metabolism (map00380), C-acetyltransferase (ec:2.3.1.9))"	42
"(Butanoate metabolism (map00650), C-acetyltransferase (ec:2.3.1.9))"	42
"(Nitrogen metabolism (map00910), dehydrogenase (ec:1.2.1.2))"	41
"(Glyoxylate and dicarboxylate metabolism (map00630), dehydrogenase (ec:1.2.1.2))"	41
"(Methane metabolism (map00680), dehydrogenase (ec:1.2.1.2))"	41
"(Alanine, aspartate and glutamate metabolism (map00250), synthase (NADPH) (ec:1.4.1.13))"	39
"(Nitrogen metabolism (map00910), synthase (NADPH) (ec:1.4.1.13))"	39
"(Glycine, serine and threonine metabolism (map00260), oxidase (ec:1.5.3.1))"	38
"(alpha-Linolenic acid metabolism (map00592), C-acyltransferase (ec:2.3.1.16))"	37
"(Benzoate degradation (map00362), C-acyltransferase (ec:2.3.1.16))"	37
"(Fatty acid elongation (map00062), C-acyltransferase (ec:2.3.1.16))"	37
"(Valine, leucine and isoleucine degradation (map00280), C-acyltransferase (ec:2.3.1.16))"	37
"(Biosynthesis of unsaturated fatty acids (map01040), C-acyltransferase (ec:2.3.1.16))"	37
"(Geraniol degradation (map00281), C-acyltransferase (ec:2.3.1.16))"	37
"(Ethylbenzene degradation (map00642), C-acyltransferase (ec:2.3.1.16))"	37
"(Fatty acid metabolism (map00071), C-acyltransferase (ec:2.3.1.16))"	37
"(Methane metabolism (map00680), hydratase (ec:4.2.1.11))"	36
"(Glycolysis / Gluconeogenesis (map00010), hydratase (ec:4.2.1.11))"	36
"(Biosynthesis of unsaturated fatty acids (map01040), reductase (ec:1.1.1.100))"	34
"(Biotin metabolism (map00780), reductase (ec:1.1.1.100))"	34
"(Fatty acid biosynthesis (map00061), reductase (ec:1.1.1.100))"	34
"(beta-Alanine metabolism (map00410), hydratase (ec:4.2.1.17))"	33
"(Caprolactam degradation (map00930), hydratase (ec:4.2.1.17))"	33
"(Valine, leucine and isoleucine biosynthesis (map00290), dehydratase (ec:4.2.1.9))"	33
"(Limonene and pinene degradation (map00903), hydratase (ec:4.2.1.17))"	33
"(Nitrogen metabolism (map00910), reductase (ec:1.7.99.4))"	33
"(Fatty acid elongation (map00062), hydratase (ec:4.2.1.17))"	33
"(Pyruvate metabolism (map00620), dehydrogenase (acetyl-transferring) (ec:1.2.4.1))"	33
"(Valine, leucine and isoleucine degradation (map00280), hydratase (ec:4.2.1.17))"	33
"(alpha-Linolenic acid metabolism (map00592), hydratase (ec:4.2.1.17))"	33
"(Glycolysis / Gluconeogenesis (map00010), dehydrogenase (acetyl-transferring) (ec:1.2.4.1))"	33
"(Aminobenzoate degradation (map00627), hydratase (ec:4.2.1.17))"	33
"(Benzoate degradation (map00362), hydratase (ec:4.2.1.17))"	33
"(Geraniol degradation (map00281), hydratase (ec:4.2.1.17))"	33
"(Fatty acid metabolism (map00071), hydratase (ec:4.2.1.17))"	33
"(Tryptophan metabolism (map00380), hydratase (ec:4.2.1.17))"	33
