	 181759
transcription elongation from RNA polymerase III promoter	 11
positive regulation of lipopolysaccharide-mediated signaling pathway	 6
nuclear polyadenylation-dependent rRNA catabolic process	 4
dorsal/ventral pattern formation, imaginal disc	 1
L-serine transport	 1
polynucleotide adenylyltransferase activity	 23
S-methyl-5-thioadenosine phosphorylase activity	 3
establishment of mitotic spindle localization	 5
transcription coactivator activity	 87
galactonolactone dehydrogenase activity	 2
aspartyl-tRNA aminoacylation	 24
planar cell polarity pathway involved in gastrula mediolateral intercalation	 1
basal cortex	 5
nucleotide-excision repair, DNA incision, 3'-to lesion	 7
kynureninase activity	 11
collagen type IV	 1
phosphoribosylformylglycinamidine synthase activity	 18
large conductance calcium-activated potassium channel activity	 6
DNA catabolic process, exonucleolytic	 5
polytene chromosome puff	 7
response to prostaglandin F stimulus	 2
floor plate formation	 2
fungal-type cell wall organization	 5
peptidyl-cysteine S-nitrosylase activity	 1
cytidine to uridine editing	 1
stearoyl-CoA 9-desaturase activity	 5
ovarian fusome organization	 3
anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process	 67
determination of bilateral symmetry	 1
gastrin receptor activity	 1
vagina development	 1
benzoate 1,2-dioxygenase activity	 1
regulation of ARF protein signal transduction	 47
optic lobe placode development	 1
dephosphorylation	 390
chloroplast	 542
Cul4B-RING ubiquitin ligase complex	 5
phospholipase D activity	 2
MAP kinase kinase kinase kinase activity	 1
short-chain fatty acid metabolic process	 1
methylated histone residue binding	 9
UDP-galactosyltransferase activity	 7
cytochrome-b5 reductase activity, acting on NAD(P)H	 8
optic nerve development	 2
CDP-diacylglycerol-serine O-phosphatidyltransferase activity	 5
auxin metabolic process	 2
guanosine-diphosphatase activity	 2
cellulase activity	 227
negative regulation of apoptotic process	 113
gamma DNA polymerase complex	 8
arginase activity	 1
purinergic nucleotide receptor activity	 6
propionate catabolic process, 2-methylcitrate cycle	 1
regulation of cAMP biosynthetic process	 9
signal transducer activity	 645
positive regulation of telomere maintenance via telomerase	 4
glycerol-3-phosphate biosynthetic process	 5
UDP-glucuronic acid transmembrane transporter activity	 1
negative regulation of release of cytochrome c from mitochondria	 5
microfilament motor activity	 18
carbon-nitrogen ligase activity, with glutamine as amido-N-donor	 58
fatty acid binding	 4
protein neddylation	 5
negative regulation of histone deacetylation	 1
negative regulation of G-protein coupled receptor protein signaling pathway	 3
regulation of neuron projection development	 1
nuclear hormone receptor binding	 3
vascular endothelial growth factor receptor 2 binding	 3
response to cytokine stimulus	 17
cAMP response element binding	 2
toll-like receptor signaling pathway	 78
cerebellum development	 25
embryonic hindlimb morphogenesis	 29
cellular response to lipopolysaccharide	 12
C-terminal protein methylation	 4
detection of gravity	 1
microtubule anchoring at centrosome	 2
calcium-independent cell-cell adhesion	 9
